type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
SKIN,2021-08-01T00:04:30,2021-08-01T06:22:30,378,32.608121693121696,-143.43407838100393,525.1683781507891,0.7360347252091114,1.2701019546621641
SKIN,2021-08-02T02:20:30,2021-08-02T08:02:30,342,33.25929824561403,84.50279229085572,220.9583853945369,0.7394944318446515,1.276383246606927
SKIN,2021-08-02T21:14,2021-08-03T03:06:30,353,32.454036827195466,-197.03656234306618,482.92399518413004,0.743495570763257,1.2892111111950644
SKIN,2021-08-04T03:56,2021-08-04T09:28:30,333,33.19828828828829,26.765787401576745,163.70494782354217,0.746119698840918,1.286197910251999
SKIN,2021-08-05T01:58:30,2021-08-05T08:00,361,33.345027700831025,52.265686790049585,305.38014131761156,0.728407926786698,1.2686584684957274
SKIN,2021-08-06T03:53:30,2021-08-06T07:33,219,32.509863013698634,-151.19418169800338,738.0222989924368,0.7199202287483039,1.277950345116335
SKIN,2021-08-07T00:28:30,2021-08-07T07:24:30,416,32.57144230769231,-261.5829204857055,485.85275838919915,0.6038799722584696,1.2111265595481182
SKIN,2021-08-07T22:14:30,2021-08-08T06:07:30,473,32.51922832980973,-322.122022571486,829.3073352548527,0.610598709638692,1.2215417137093356
SKIN,2021-08-09T23:55:30,2021-08-10T08:06,490,32.17352040816326,-502.1362612612611,988.4313642825,0.605624897984807,1.2336940870645654
SKIN,2021-08-11T00:59:30,2021-08-11T08:03:30,424,32.5164033018868,-220.9589107611555,358.6385981598869,0.599442242938623,1.22747105457508
SKIN,2021-08-12T04:03,2021-08-12T08:56:30,294,32.82263605442177,-36.12590979116794,216.1175842966186,0.5885688457619722,1.2184944661956518
SKIN,2021-08-13T00:41:30,2021-08-13T04:39,237,32.95229957805907,0.0,77.14622172992676,0.5779878559141108,1.20819209638482
SKIN,2021-08-14T02:02:30,2021-08-14T07:24,321,33.6286292834891,189.74196850393855,565.4109556440962,0.5722866556427804,1.2158918606468974
SKIN,2021-08-15T01:17,2021-08-15T06:00,283,33.44401060070671,115.03321522309852,378.0792703340994,0.5774447689113522,1.2029333982561197